Name,Age,Gender,Phone,Email,Product,Price,Order_Date,Payment_Date,Profit
Freya Cote,15,Female,(211) 486-1516,freyacote@icloud.net,Synthroid,150000,2021-03-27 05:17:00 UTC,2021-03-27 07:41:00 UTC,105000
Freya Cote,15,Female,(211) 486-1516,freyacote@icloud.net,LevothyroxineSodium,75000,2021-05-06 05:17:00 UTC,2021-05-06 07:11:00 UTC,45000
Adam Madden,15,Female,1-765-414-6743,adammadden87@hotmail.org,Hydrocodone/APAP,200000,2021-03-25 00:46:00 UTC,2021-03-25 03:10:00 UTC,110000
Adam Madden,15,Female,1-765-414-6743,adammadden87@hotmail.org,Crestor,85000,2021-05-04 00:46:00 UTC,2021-05-04 02:40:00 UTC,59500
Irma Osborne,15,Female,(774) 168-5602,irmaosborne@icloud.net,Singulair,50000,2021-12-11 19:54:00 UTC,2021-12-11 22:18:00 UTC,40000
Irma Osborne,15,Female,(774) 168-5602,irmaosborne@icloud.net,Nexium,270000,2022-01-02 19:54:00 UTC,2022-01-02 21:48:00 UTC,94500
Craig Sampson,15,Female,1-663-433-9564,craigsampson@icloud.org,Plavix,225000,2022-03-08 05:14:00 UTC,2022-03-08 07:38:00 UTC,100000
Kirby O'Neill,15,Female,(331) 579-8937,kirbyoneill@google.com,Singulair,50000,2021-02-25 21:59:00 UTC,2021-02-26 00:23:00 UTC,40000
May Kirk,16,Female,(932) 744-7480,maykirk7418@google.org,Simvastatin,110000,2021-06-03 05:18:00 UTC,2021-06-03 07:41:00 UTC,77000
May Kirk,16,Female,(932) 744-7480,maykirk7418@google.org,Hydrocodone/APAP,200000,2021-07-13 05:18:00 UTC,2021-07-13 07:11:00 UTC,110000
May Kirk,16,Female,(932) 744-7480,maykirk7418@google.org,Lipitor,100000,2021-08-27 05:18:00 UTC,2021-08-27 07:11:00 UTC,70000
May Kirk,16,Female,(932) 744-7480,maykirk7418@google.org,Singulair,50000,2021-09-26 05:18:00 UTC,2021-09-26 07:11:00 UTC,40000
Len Tyler,16,Male,(967) 587-5064,lentyler@icloud.org,Singulair,50000,2021-08-23 01:25:00 UTC,2021-08-23 03:49:00 UTC,40000
Len Tyler,16,Male,(967) 587-5064,lentyler@icloud.org,Synthroid,150000,2021-10-24 01:25:00 UTC,2021-10-24 03:19:00 UTC,105000
Len Tyler,16,Male,(967) 587-5064,lentyler@icloud.org,Singulair,50000,2021-12-08 01:25:00 UTC,2021-12-08 03:19:00 UTC,40000
Len Tyler,16,Male,(967) 587-5064,lentyler@icloud.org,Hydrocodone/APAP,200000,2021-12-27 07:13:00 UTC,2021-12-27 09:37:00 UTC,110000
Petra Lott,16,Male,1-709-622-1670,petralott9494@google.net,Synthroid,150000,2021-11-24 21:38:00 UTC,2021-11-25 00:01:00 UTC,105000
